"Routing_plan","FN","FRRR","SRRR","SN"
"Others","0",NA,NA,"0"
"Morning Plan - BUS/OOS priority","810","0.8859","0.8881","831"
"Base Routing Plan","3046","0.8497","0.833","2773"
"Manual Routing Plan","14","0.8293","0.9173","22"
"Manual Plan","202","0.8955","0.8933","218"
"Base Routing Plan 2","100","0.7179","0.6693","112"
"DAY BEFORE-LOAD BAL","1104","0.8324","0.8501","1086"
"DAY BEFORE ROUTING","787","0.8987","0.8943","823"
