"Routing_plan","FN","FRRR","SRRR","SN"
"Others","0",NA,NA,"0"
"01 - Prioritários e D+0 com ReOtimização","2982","0.8397","0.8434","2964"
"02 - Atividades D-1 Anatel","29","0.8928","0.9481","26"
"03 - Atividade D+1","188","0.8548","0.839","188"
"04 - Todas as atividades","280","0.8108","0.8153","308"
"Reparo noturno com ReOtimização","62","0.7544","0.6988","70"
