"Routing_plan","FN","FRRR","SRRR","SN"
"Others","0",NA,NA,"0"
" Cable Onda enrutamiento básico ","140","0.9053","0.9019","188"
"Daños - CTT","132","0.8473","0.8167","186"
"Corporativo y Pymes Urgente","149","0.8337","0.816","319"
"Cliente VIP","6","0.6898","0.8571","26"
