"Routing_plan","FRRR_id_rgt","FRRR_AA","FRRR_AAs","FRRR_OvC","FRRR_TrC","FRRR_SlC","FRRR_RP","FRRR_AL","FRRR_WT","FRRR_RD","FRRR_RCD","FRRR_Ovt","FRRR_OvWt","FRRR_RV","FRRR_SNA","FRRR_RAA","FRRR_RSAA","FRRR_RSLA","FRRR_TRAS","SRRR_id_rgt","SRRR_AA","SRRR_AAs","SRRR_OvC","SRRR_TrC","SRRR_SlC","SRRR_RP","SRRR_AL","SRRR_WT","SRRR_RD","SRRR_RCD","SRRR_Ovt","SRRR_OvWt","SRRR_RV","SRRR_SNA","SRRR_RAA","SRRR_RSAA","SRRR_RSLA","SRRR_TRAS"
"Morning Plan - BUS/OOS priority","1895470","28","1","0","8.10569852941176","87.6011904761905","201892.5","0.930261870299428","581","0.854434395297144","0.766377911010639","12.7529411764706","0.0198206830022065","185211.1831","0","0.866473534974613","1","0.229765335986356","0.000150869262318047","1970279","28","1","0","8.17647058823529","163.773333333333","230580","0.934787921551724","558.333333333333","0.853374012921752","0.759143212549885","14.8","0.0242649157864687","214998.0363","0","0.862629246676514","1","0.276420123826145","0.00015098248931153"
"Base Routing Plan","1899140.5","24","0.977777777777778","0","8.76628151260504","169.999431818182","231750","0.946302638093521","396.916666666667","0.833619743608671","0.677613576825656","55.25","0.148971396364661","217882.7556","Inf","0.841258066035514","0.992355479027156","0.338454504835225","4.58644737999835e-05","1973064","24","0.978021978021978","0","8.93333333333333","245","242400","0.949773471334792","397.807692307692","0.833468724614135","0.666873872523507","61.6666666666667","0.166666666666667","226053.3505","Inf","0.839688041594454","0.990427128544193","0.434555654171705","5.05938147022276e-05"
"Manual Routing Plan","1889116.5","111.5","1","0.0441176470588235","5.90710789529687","234.103361344538","945150","0.951309717739831","546.4","0.887208034689179","0.704993911433992","87.3951048951049","0.219988314005542","892332.03676","0","0.890223605625908","1","0.427414466867565","0.00774088064215689","1973497.5","104","1","0.102564102564103","6.38636363636364","34.2003499562555","754762.5","0.926621459864783","529.376923076923","0.882839017971165","0.70166437139904","85.6783216783217","0.165376819515383","700493.58642","0","0.882839017971165","1","0.162546103803453","0.00454941656251202"
"Manual Plan","1897040.5","26","1","0","8.76140808344198","55.5535117056856","282450","0.952228937608533","488.763157894737","0.835203699183857","0.72221540469257","32.625","0.0775885887226179","264907.475965","0","0.84928722234824","1","0.186023768444444","0.000682374759637015","1972272","25","1","0","8.94368131868132","77.5666666666667","275062.5","0.949770566718779","435.568181818182","0.835305363299375","0.721528317238751","30.6","0.0721422977320546","260802.026835","0","0.840061919504644","1","0.191247759490186","0.000638999723040037"
"Base Routing Plan 2","1903687","15","0.9375","0","8.0655737704918","381.887626262626","140587.5","0.931392759492302","243.380952380952","0.845100388333471","0.525133390158616","125.690476190476","0.561312005948684","130687.93788","Inf","0.845100388333471","0.983344271885153","0.477120561979924","0.00134069184453883","1977602","16","0.950549450549451","0.0476190476190476","7.57239819004525","377.96218487395","153225","0.931711648398033","258.910714285714","0.842912716884878","0.515967634686471","134.272727272727","0.587586461596411","139632.9502","Inf","0.842912716884878","0.958292232062205","0.60664825217733","0.001223302816398"
"DAY BEFORE-LOAD BAL","1891853","20","0.944444444444444","0","5.60555555555556","19.367816091954","119250","0.928088859881222","467.1","0.890010310459388","0.792294975746811","0","0","107053.7852","Inf","0.896145360168118","0.951544564950835","0.222777909609023","8.1742581943776e-05","1966960","19","0.957446808510638","0","5.73940677966102","39.3044794188862","127875","0.928217183754206","478","0.88782767266925","0.787007489916904","0","0","116138.39575","Inf","0.892615203363055","0.964454873915149","0.242834981586573","8.55032274481309e-05"
"DAY BEFORE ROUTING","1891732","27","1","0","7.71621621621622","118.661764705882","228750","0.937192766770509","558.333333333333","0.856382978723404","0.772674208483573","5","0.00928454396504642","210699.739","0","0.866370292887029","1","0.305162113506139","0.000152479825596421","1967028","27","1","0","7.90909090909091","124.052631578947","228750","0.938451958090803","560.75","0.855855855855856","0.767819559873979","7.5","0.0137362637362637","212194.674","0","0.863912515188335","1","0.330439303509411","0.000143211394344702"
