"Routing_plan","FRRR_id_rgt","FRRR_AA","FRRR_AAs","FRRR_OvC","FRRR_TrC","FRRR_SlC","FRRR_RP","FRRR_AL","FRRR_WT","FRRR_RD","FRRR_RCD","FRRR_Ovt","FRRR_OvWt","FRRR_RV","FRRR_SNA","FRRR_RAA","FRRR_RSAA","FRRR_RSLA","FRRR_TRAS","SRRR_id_rgt","SRRR_AA","SRRR_AAs","SRRR_OvC","SRRR_TrC","SRRR_SlC","SRRR_RP","SRRR_AL","SRRR_WT","SRRR_RD","SRRR_RCD","SRRR_Ovt","SRRR_OvWt","SRRR_RV","SRRR_SNA","SRRR_RAA","SRRR_RSAA","SRRR_RSLA","SRRR_TRAS"
" Cable Onda enrutamiento básico ","1906717","68.5","1","0","8.83581081081081","41","5802540","0.990035780207803","601.715837621498","0.725818346586871","0.560587554257753","111.856060606061","0.187654081128105","5711595.279","0","0.897008411199525","1","0.0109787537718918","0.000569726346930489","1969718","92.5","0.964802819584683","0","9.28791903858318","50.4447815533981","6053430","0.986801978119232","593.63357771261","0.72648802942277","0.572058261540525","108","0.183325490122035","5953298.899","Inf","0.896864391041995","0.996239197744573","0.0136138984314845","0.000449621960844303"
"Daños - CTT","1903962.5","31","1","1.67985893416928","8.95272727272727","59.2942452284558","665580","0.98266102734179","403.041666666667","0.777849327782665","0.631354806818462","15","0.053929325986992","651736.16","0","0.820911728991627","1","0.0364210448892072","0.00102435772941244","1970010","40.5","0.98424317617866","6","9.01824817518248","83.9242424242424","848190","0.98195295176993","380.110576923077","0.802682464612837","0.604188303518749","39.6666666666667","0.106468493924074","830285.61","Inf","0.827691912777973","0.994995506856601","0.0440821977050147","0.000792431282650746"
"Corporativo y Pymes Urgente","1915230","29","0.976470588235294","6.97368421052632","9.73584905660377","16.2674418604651","8003208","0.998528569939192","277","0.753460207612457","0.445915914553948","96.5","0.283978739559605","7990831.16","Inf","0.770057581573896","0.998625301746267","0.0246254305539497","0.00150823732309889","1975895","18","0.981818181818182","8.25","9.23809523809524","30.4897959183673","4416768","0.99826238894859","260.5","0.755067567567568","0.447631663088658","74.4","0.278367803242035","4408670.26","Inf","0.771428571428571","0.998917525692036","0.0239173418209877","0.000687178987164728"
"Cliente VIP","1871734.5","3","1","0","7.33333333333333","170","80640","0.98853125","318.5","0.282608695652174","0.544959128065395","0","0","79715.16","0","0.803571428571429","1","0.04271875","0.0128130460104834","1972288","8","1","0","7.4","157.134920634921","260820","0.986176669523425","435","0.803331992491285","0.641488442263111","88","0.141928587709164","256702.81","0","0.846372549019608","1","0.0326423174027452","0.00587188612099644"
