"Routing_plan","FN","FRRR","SRRR","SN"
"Others","314","0.7743","0.7401","3"
"Automatic Bulk AM","399","0.5163","0.5443","38"
"Manual - Internal - Install and Service","163","0.9183","0.9712","2"
"Manual - Int/Ext - Install and Service","270","0.8768","0.8694","36"
"Manual Bulk AM Step 1 – Internal","392","0.5146","0.4926","2"
"Automatic Bulk AM ","27","0.5381","0.5825","3"
"Automatic Bulk Am","18","0.5666","0.5056","2"
"Manual Bulk Step 1 – Internal","15","0.3288","0.313","1"
