"Routing_plan","FN","FRRR","SRRR","SN"
"Wich-1 50/15/60/25","5","0.6392","0.5914","8"
"45/10/30/7x","4","0.5187","0.7145","1"
"Basic 3 90/30/90/0","7","0.5874","0.7314","11"
"SWEEPER min/unl/200/9999*GR","3","0.6862","0.6734","1"
"120/60/120/10","8","0.8372","0.8489","10"
"30 /20/60/7","4","0.5387","0.5452","6"
"45 /20/90/10","10","0.6281","0.6584","13"
"70 /30/90/10","5","0.7926","0.7609","7"
"100 /50/120/10","3","0.8098","0.7574","6"
"30/20/120/7","10","0.4744","0.3589","13"
"100/ 40/100/10","4","0.7897","0.871","6"
"80/30 /120/10","3","0.7228","0.7056","7"
"60/30/100 /10","5","0.6642","0.6343","8"
"45/15/ 60/7","5","0.5956","0.5313","8"
"50 /20/60/10","5","0.6179","0.6564","9"
"30/10 /30/0","6","0.489","0.3783","8"
"40/15/75/ 7","4","0.5609","0.6042","9"
"120/unl/140/10","3","0.7263","0.851","6"
"Columbus Duration 75/20/90/0","4","0.777","0.7229","11"
"45/20/75/0","5","0.7779","0.7481","8"
"*30/15/75/7","5","0.1928","0.2258","8"
"Special 90/30/120/0","5","0.5545","0.6033","3"
"Route 2 120/60/150/0","6","0.6528","0.6405","8"
"45/10/120/20","2","0.7614","0.6904","3"
"SWEEPER min/unl/200/7","4","0.6002","0.5438","7"
"Special 90/20/90/0","6","0.5915","0.6602","6"
"Min/45/Unlimited/50","3","0.8326","0.8682","8"
"90/60/120/11","7","0.6709","0.6693","13"
"FSSwk2/wk4","11","0.1994","0.3591","15"
"75/30/120/0","3","0.7989","0.7618","4"
"35/10/75/0*","4","0.454","0.5068","7"
"FSSwk2/wk4/70/0/80/0","4","0.1266","0.2882","6"
"FSSwk2/wk4^","6","0.2505","0.294","5"
"60/60/120/11","9","0.5584","0.507","12"
"30/20/ 90/0","5","0.5376","0.5242","8"
"45/60/UNL/1-4/10","5","0.7695","0.7843","10"
"FSSwk2/wk4/45/0/60/0","6","0.0725","0.0431","5"
"45/10/90/0","5","0.7253","0.7201","5"
"90/30/ 120/10","5","0.726","0.7275","7"
"30/20/90/1-5/20","5","0.5544","0.5493","9"
"50/20/80/10","6","0.7329","0.7018","14"
"120/15/120/1-2/5r","4","0.7625","0.7515","4"
"FSSwk2/wk4/90/0/60/20aq","4","0.2106","0.1706","7"
"90/10/180/Specialty/15am","5","0.528","0.6178","6"
"70/20/120/1-3/10az","5","0.7312","0.6933","7"
"60/15/100/1-4/5","4","0.7087","0.7069","7"
"60/30/80/10","5","0.6631","0.6741","10"
"90/10/180/Specialty/15s","4","0.6065","0.5398","5"
"90/10/180/Specialty/15w","5","0.4905","0.5308","5"
"North 70/30/30/10","7","0.7307","0.7139","11"
"FSSwk2/wk4/90/0/60/20aa","5","0.1328","0.1774","6"
"FSSwk2/wk4/90/0/60/20ag","4","0.1526","0.2672","9"
"90/10/180/Specialty/15zyz","6","0.6096","0.5383","8"
"60/15/100/1-5/15","5","0.6278","0.6046","4"
"120/10/UNL/Speciality/50a","4","0.5861","0.6081","7"
"75/30/60/1-2/15","5","0.5975","0.5854","8"
"150/25/120/1-2/0","4","0.7518","0.7543","7"
"FSSwk2/wk4/90/0/60/20m","4","0.3301","0.2477","9"
"50/20/60/1-4/10g","4","0.7436","0.7254","7"
"120/20/150/1-4/0","4","0.8663","0.8505","7"
"90/10/180/Specialty/15aa","4","0.5714","0.5164","6"
"FSSwk2/wk4/90/0/60/20as","3","0.0076","0.0206","6"
"70/0/120/Specialty/20a","5","0.6452","0.5168","7"
"50/10/100/1-2/10j","4","0.6964","0.6385","8"
"60/15/120/1-2/15","7","0.7748","0.9427","9"
"150/25/150/1-3/0;","5","0.8058","0.7523","6"
"FSSwk2/wk4/90/0/60/20ae","5","0.0463","-0.0405","3"
"75/10/60/1-4/0w","5","0.6155","0.5949","5"
"90/10/180/Specialty/15ai","6","0.6303","0.6377","8"
"50/20/100/1-4/10j","4","0.7161","0.731","8"
"90/10/180/Specialty/15al","4","0.6389","0.6074","7"
"120/10/140/Specialty/50a","5","0.4572","0.5945","8"
"45/15/60/1-4/15s","4","0.7188","0.6901","6"
"90/10/180/Specialty/15q","4","0.6489","0.5682","8"
"45/15/60/1-4/15c","5","0.6366","0.7496","6"
"FSSwk2/wk4/90/0/60/20ai","4","0.059","0.0099","5"
"70/15/100/1-3/10we","5","0.7591","0.8307","7"
"90/10/180/Specialty/15h","4","0.3754","0.4886","7"
"70/30/30/10","3","0.6763","0.6617","6"
"120/20/180/1-3/0j","4","0.7548","0.7854","6"
"FSSwk2/wk4/90/0/60/20aj","6","0.1333","0.1378","10"
"70/20/100/1-4/10","5","0.7017","0.6735","5"
"60/30/120/1-5/10!","5","0.6979","0.6573","4"
"50/20/160/1-2/10 c","5","0.7676","0.7265","11"
"100/20/180/1-2/10 c","4","0.8069","0.8152","12"
"Bo-1 60/30/60/15","6","0.6133","0.6024","4"
"50/10/180 RUN SECOND","3","0.5523","0.6718","3"
"150/10/120/1-5/5","6","0.6219","0.6658","7"
"Bo-3 200/unl/180/7","5","0.5728","0.6192","4"
"90/10/110/1-1/10","3","0.7684","0.7342","7"
"65/15/160/1-2/10","4","0.7006","0.7224","4"
"110/30/200/1-1/0","4","0.7565","0.7484","9"
"FSSwk2/wk4/65/10/60/50a","4","0.4464","0.1197","7"
"FSSwk2/wk4/65/0/60/50","6","0.1708","0.2069","5"
"60/30/180/1-4/20'","3","0.7367","0.7322","3"
"70/10/120/Specialty/5","5","0.6498","0.6003","8"
"120/25/180/1-1/0","5","0.7265","0.7356","6"
"FSSwk2/wk4/90/20/90/5","5","0.4616","0.4509","6"
"60/20/120/Specialty/20","3","0.5668","0.6322","8"
"100/15/120/1-4/8","3","0.8676","0.7617","7"
"55/15/100/1-4/10","5","0.5968","0.607","6"
"90/25/90/1-4/5","5","0.7496","0.7513","9"
"90/30/60/1-5/10","5","0.0638","-0.0374","5"
"60/10/120 RUN 1ST","24","0.525","0.4142","22"
"Min/UNL/200/1-4/5","4","0.5477","0.5306","8"
"100/30/200/Specialty/0","5","0.5698","0.5596","9"
"120/unl/ 120","7","0.5581","0.5432","7"
"Specialty","4","0.1704","0.3308","3"
"90/20/120/7x","4","0.6698","0.7043","7"
"120/unl/ 200","5","0.5637","0.8627","1"
"90/10/60","3","0.1044","0.2545","4"
"90/10/150/Specialty/50","5","0.4094","0.4335","2"
"90/10/60/1-1/10","4","0.8329","0.7581","7"
"Min/UNL/180/1-4/5","5","0.7021","0.6235","7"
"FSSwk2/wk4/55/10/60/50","6","0.3062","0.3097","5"
"70/10/60/Specialty/7","5","0.6722","0.7026","8"
"Min/UNL/120/1-4/0","4","0.7457","0.618","6"
"Min/UNL/60/1-3/5","6","0.55","0.5414","4"
"Min/30/60/1-4/50","5","0.4395","0.4092","5"
"Min/60/60/1-3/10","5","0.5767","0.59","5"
"FSSwk2/wk4/100/10/160/50","6","0.2049","0.2017","6"
"FSSwk2/wk4/75/15/60/10","5","-0.1179","0.2151","5"
"Min/60/60/1-4/0","5","0.5225","0.4436","6"
"70/20/140/Specialty/25","4","0.7558","0.7011","8"
"90/20/150/1-1/0Z","5","0.7915","0.6388","7"
"75/0/60/1-3/50","6","0.9087","0.7587","7"
"60/15/120/1-2/19","3","0.9001","0.8363","7"
"Min/60/180/1-2/10","6","0.7568","0.784","6"
"FSSwk2/wk4/45/60/0","3","0.4521","0.5004","7"
"75/30/60/1-2/5","4","0.4512","0.3895","6"
"65/0/60/1-4/0","3","0.3085","0.0545","3"
"Min/UNL/120/1-4/5","6","0.668","0.7256","7"
"min/10/120/Specialty/20","2","0.2801","0.5607","6"
"90/10/120/Specialty/7","5","0.6624","0.635","6"
"45/-60/0/1-5/20 AM","4","0.5806","0.6005","6"
"60/-45/170/4-5/20","2","0.8433","0.8592","5"
"FSSwk2/wk4/45/0/60/19","9","0.0205","0.0491","9"
"65/10/150/Specialty/50","6","0.5969","0.616","8"
"45/10/90/1-4/20","3","0.7954","0.7599","6"
"FSSwk2/wk4/65/0/60/15","5","0.1645","0.206","6"
"MIN/10/UNL/1-5/200a","4","0.7237","0.5769","5"
"30/0/45/1-2/50","3","0.7863","0.7195","6"
"FSSwk2/wk4/45/10/0/50","3","0.4997","0.4514","6"
"FSSwk2/wk4/45/UNL/60/15","3","0.1612","0.204","7"
"60/-60/200/2-4/20","5","0.8127","0.8076","6"
"FSSwk2/wk4/45/10/30/50","4","0.1361","0.173","6"
"Min/10/120/1-4/50","4","0.5159","0.4833","3"
"45/20/180/1-3/0a","2","0.7928","0.7606","9"
"60/15/90/5-1/0","5","0.895","0.9666","4"
"45/10/30/7","4","0.5974","0.5976","8"
"Test2 60/20/150/9999*GR","1","0.6559","0.6454","1"
"60 min drive","9","0.9494","0.9455","13"
"50/20/60/1-3/10","4","0.3107","0.1483","7"
"90/UNL/120/Specialty/20","1","0.8133","0.0812","3"
"120/UNL/60/1-3/0","2","0.4371","0.3992","6"
"Odessa Test 2: 90/30/120/0","5","0.627","0.7129","7"
"Routing 3 200/unl/180/7","3","0.7017","0.7328","7"
"Routing 1 50/30/100/0","3","0.6117","0.7052","9"
"Austin Test 2: 120/40/120/10","4","0.5872","0.5877","16"
"Routing 3 200/unl/200/7","2","0.7245","0.7344","4"
"Routing 2 120/unl/150/10","3","0.6431","0.6484","8"
"Wich-2 100/30/90/15","4","0.7915","0.7335","3"
"25/10/50/40","1","0.5027","0.6187","6"
"20/20/60/7","5","0.262","0.2535","12"
"Youngstown Duration 75/20/90/0","6","0.5338","0.4967","7"
"20/10/60/0#","3","0.3305","0.32","5"
"Remote 1 60/15/60/0","1","0.8803","0.6699","4"
"80/30/90/0","4","0.7263","0.6721","6"
"200/unl/ 200/0","5","0.8333","0.7869","6"
"FSSwk2/wk4*","4","0.096","0.1629","8"
"FSSwk2/wk4/90/0/60/20an","3","0.159","0.1312","9"
"AM 45/20/60/7","4","0.6133","0.6455","7"
"90/10/180/Specialty/15ak","4","0.6869","0.6451","6"
"FSSwk2/wk4/65/10/80/0","5","0.1414","0.2329","7"
"90/10/120/1-3/10","4","0.7847","0.7868","8"
"50/10/180/1-3/10d","4","0.7997","0.6726","4"
"90/10/180/Specialty/15af","3","0.43","0.5069","5"
"90/30/150/1-4/0`","3","0.7212","0.7199","6"
"90/10/180/Specialty/15f","2","0.5702","0.5718","9"
"90/10/180/Specialty/15aoo","4","0.6619","0.6408","9"
"Min/15/120/1-3/0","4","0.6034","0.5595","8"
"FSSwk2/wk4/90/0/60/20v","4","0.2196","0.1141","6"
"50/15/60/1-4/10po","4","0.632","0.6138","9"
"Basic 1 30/10/40/0","4","0.4542","0.2882","7"
"80/10/180/Specialty/20","6","0.6304","0.613","14"
"120/10/120/1-3/0e","2","0.4793","0.5061","9"
"60/10/180 RUN LAST","5","0.7488","0.6503","5"
"90/0/180/1-3/20","1","0.8253","0.6954","6"
"90/30/120 SanAntonio NEW","5","0.646","0.5607","6"
"FSSwk2/wk4/70/30/60/10","4","0.2001","0.1558","9"
"30/10/60","1","0.0886","0.2022","2"
"90/10/180/Specialty/9999","3","0.4592","0.5129","8"
"Min/10/180/1-3/7","4","0.5505","0.5791","6"
"Bo-2 90/60/100/7","3","0.7062","0.5951","3"
"60/30/120 - RUN LAST!","5","0.8148","0.79","1"
"45/45/90/7D","1","0.4891","0.2503","1"
"Min/30/60/1-1/0","3","0.521","0.4533","8"
"50/15/120/1-4/15","3","0.8095","0.7936","4"
"75/15/60/1-2/5","3","0.4588","0.4506","8"
"60/15/60/1-4/10","4","0.6744","0.6996","5"
"Spo-3 Min/unl/240/7","1","0.7648","0.6986","3"
"Spo-1 90/30/120/20","1","0.7648","0.6765","3"
"90/30/90/1-4/0","3","0.795","0.8884","9"
"112/0/120/1-5/50","3","0.6797","0.7137","5"
"Bil-2 180/60/120/0","4","0.4662","0.7304","2"
"Bil-3 Min/unl/300/0","2","0.5486","0.9322","1"
"Routing 2 100/unl/130/0","3","0.6858","0.5835","8"
"Mos-3 180/unl/200/7","2","0.4402","0.5707","4"
"Mos-2 100/50/180/7","4","0.4837","0.6171","2"
"100 /60/150/15","2","0.7959","0.7852","4"
"Run Third 45/10/90/30","3","0.7407","0.5617","11"
"45/20/60 /0","1","0.5361","0.377","8"
"90/10/180/Specialty/15ad","3","0.5834","0.5754","10"
"80/15/120/1-1/5","3","0.8149","0.8237","8"
"120/20/180/1-5/20","4","0.7755","0.7255","8"
"70/30/120/1-2/10","4","0.6716","0.6965","7"
"80/40/120/7","3","0.7242","0.7335","5"
"120/20/180/1-2/0v","3","0.7849","0.9187","2"
"90/10/110/1-1/10 Training Days","2","0.7775","0.7961","2"
"90/0/120/1-2/15","2","0.8712","0.6811","8"
"45/15/90/1-1/10 Training Days","2","0.721","0.7326","2"
"FSSwk2/wk4/75/0/90/50","3","0.4721","0.4858","7"
"60/20/120/1-2/20 Training","2","0.7108","0.6898","2"
"45/10/180/1-4/50 Training ","2","0.7626","0.6452","2"
"Min/UNL/100/1-5/0","4","0.6814","0.638","9"
"FSSwk2/wk4/100/10/120/50","4","0.6873","0.5533","6"
"75/0/120/1-3/10","4","0.8452","0.7242","7"
"Rich-1 45/20/90/20","2","0.7809","0.7413","3"
"Min/60/60/2-1/15","2","0.6786","0.6086","6"
"60/0/30/1-5/50 Training","2","0.813","0.7702","1"
"90/30/150/1-4/20 Training","2","0.7558","0.7397","2"
"120/0/30/1-5/0 Training","2","0.5427","0.4769","1"
"Min/10/180/1-5/9999 Training","2","0.4944","0.5958","2"
"112/0/120/1-5/50 Training","2","0.8227","0.7225","1"
"Min/10/120/1-4/50 Training","2","0.6144","0.953","1"
"45/10/90/1-4/20 Training","2","0.8131","0.9146","1"
"60/10/120/5-1/4","4","0.9097","0.8376","5"
"60/15/90/1-5/75 Training","2","0.605","0.6797","1"
"75/30/120/1-1/10 Training","2","0.7437","0.7452","2"
"85/30/120/1-1/0 Training","2","0.8758","0.9134","1"
"90/10/180/Specialty/20b","2","0.4651","0.414","6"
"Routing 1 80/30/120/10","3","0.6379","0.6587","5"
"Set 2-Routing 1 50/40/110/0","4","0.6131","0.7204","7"
"Remote2 Min/30/90/10","2","0.7731","0.735","2"
"60/20/90/7","2","0.6834","0.8024","1"
"30/10/60/10","1","0.5504","0.6373","1"
"90/30/90/7","1","0.9297","0.6926","1"
"20/10/45/7","1","0.7691","0.6813","1"
"45/20/60/10","2","0.6334","0.6418","7"
"90/0/150/1-4/0","2","0.7819","0.759","6"
"60/15/120/1-2/30","3","0.7526","0.6942","7"
"60/20 /90/0","2","0.8272","0.7186","8"
"60/15/120 RUN LAST","2","0.5309","0.2935","4"
"60/30/90/1-4/5","2","0.6724","0.6055","6"
"Min/unl/200/1-1/0","2","0.8901","0.9075","4"
"45/0/90/Limit 7","2","0.7673","0.618","4"
"60/20/120/1-2/20","1","0.7239","0.6559","8"
"60/20/120/Specialty/5 L","1","-0.1096","0.2574","2"
"Rich-2 90/30/160/10","2","0.743","0.6643","3"
"Mos-1 45/30/120/20","2","0.4507","0.3354","3"
"Metro 2 65/15/90/15","2","0.8914","0.6403","8"
"Sweeper Min/unl/120/15","2","0.8911","0.694","10"
"Wat-3 120/unl/120/0","1","0.9109","0.8721","1"
"Set 2-Routing 3 150/unl/150/0","2","0.813","0.6698","6"
"Routing 1 50/20/100/0","2","0.6984","0.6341","8"
"Set 2-Routing 2 75/60/130/0","2","0.6116","0.6573","7"
"Specialty 90/20/100/0","1","0.5737","0.6991","5"
"DishNET 75/20/90/ 0","1","0.6178","0.6103","4"
"Routing 2 75/60/120/7","3","0.7103","0.7016","9"
"*Office day 60/20/90/50","1","0.8228","0.8437","1"
"90/10/180/Specialty/15o","2","0.4474","0.5368","6"
"45/10/90 RUN SECOND","2","0.3469","0.1702","6"
"45/10/180","4","0.7716","0.7794","6"
"90/20/180","1","0.9144","0.8489","2"
"Bil-1 75/30/90/15","2","0.3111","0.5588","3"
"90/0/180/1-3/20 Training","1","0.9154","0.7995","1"
"45/0/120/1-4/20 Training","1","0.7058","0.6642","1"
"120/0/180/1-2/30 Training","1","0.8451","0.8551","2"
"Min/60/60/1-1/20","2","0.8352","0.8335","4"
"100/10/120/1-1/0 - Training","1","0.8949","0.8416","2"
"60/30/90/10","1","0.872","0.8246","1"
"100/unl/150/7","1","0.7657","0.8979","5"
"70/20/180/1-4/10x","1","0.8483","0.7095","7"
"RRC - Internal Only - 75/15/120","1","0.8212","0.8079","1"
"150/25/75/1-2/0","1","0.7893","0.6593","7"
"45/0/60/1-4/5","1","0.6457","0.5773","9"
"Min/30/60/1-5/2","1","0.8167","0.798","4"
