"Routing_plan","FN","FRRR","SRRR","SN"
"25/20/90/7","4","0.3648","0.3707","5"
"120/65/120/7","8","0.6548","0.6244","14"
"Min/unl/200/0","4","0.8946","0.8558","7"
"Min/65/120/7","9","0.6229","0.5879","16"
"FSSwk2/wk4/90/0/60/20g","7","0.2752","0.1286","9"
"FSSwk2/wk4/90/0/60/20h","5","0.5772","0.5949","4"
"Min/unl/ 180/10","6","0.7642","0.7574","6"
"FSSwk2/wk4/90/0/60/20b","4","0.1811","0.2242","4"
"FSSwk2/wk4/90/0/60/20f","4","0.283","0.398","9"
"75/30/90/7","6","0.7273","0.7071","6"
"90/45/90/10","5","0.6302","0.658","8"
"FSSwk2/wk4#","5","0.59","0.2275","7"
"FSSwk2/wk4/80/0/60/20a","5","0.4548","0.5728","7"
"FSSwk2/wk4/45/0/60/20c","4","0.1919","0.204","7"
"120/40/120/7","6","0.732","0.7445","8"
"FSSwk2/wk4/90/0/60/20e","6","0.271","0.2689","5"
"30/15/60/10","5","0.4614","0.4865","7"
"150/60/150/0","5","0.7631","0.7579","5"
"75/30/90/0^","7","0.658","0.5622","7"
"60/25/75/0*","6","0.66","0.605","6"
"FSSwk2/wk4/90/0/60/20d","3","0.5875","0.6389","4"
"FSSwk2/wk4/60/0/60/5","3","0.2664","0.2169","9"
"50/10/200/1-3/0","5","0.7826","0.7091","6"
"65/20/60/1-5/10","5","0.5769","0.5885","7"
"FSSwk2/wk4- 45/45/120/7","13","0.2537","0.2406","14"
"Min/15/90/1-2/15[","5","0.7104","0.7421","9"
"90/20/90/1-3/200","4","0.7225","0.702","3"
"90/10/90/1-4/20","5","0.7643","0.7852","4"
"FSSwk2/wk4/90/0/60/20o","5","0.5108","0.5089","6"
"90/10/180/Specialty/15m","6","0.7132","0.7138","4"
"90/10/180/Specialty/15p","5","0.4806","0.5289","10"
"FSSwk2/wk4/90/0/60/20w","4","0.0759","0.0683","5"
"55/15/120/1-4/5;","4","0.7263","0.7606","7"
"120/15/200/1-1/5b","6","0.8498","0.855","8"
"FSSwk2/wk4/90/0/60/20z","7","0.2338","0.1634","8"
"150/25/120/1-3/0q","3","0.779","0.686","4"
"90/10/180/Specialty/15y","5","0.5909","0.6109","8"
"45/20/120/1-5/10.,","6","0.7217","0.7352","7"
"60/15/60/1-4/10y","7","0.6885","0.6874","5"
"Min/0/200/5-2/50","5","0.3036","0.32","5"
"60/15/90/1-4/10j","4","0.7002","0.6443","6"
"90/20/120/1-2/0","6","0.7542","0.6988","8"
"90/20/120/1-4/0asd","4","0.7156","0.6989","9"
"90/10/180/Specialty/15d","3","0.7767","0.5757","4"
"90/10/180/Specialty/15b","6","0.511","0.6692","6"
"90/10/180/Specialty/15c","4","0.6321","0.6659","6"
"75/10/60/1-4/0c","4","0.5382","0.4095","8"
"75/30/60/1-5/20","4","0.5774","0.6277","7"
"120/20/180/1-2/0g","4","0.6063","0.6331","7"
"75/15/60/1-3/5","4","0.6658","0.6024","5"
"FSSwk2/wk4/90/0/60/20t","5","0.5164","0.4768","9"
"FSSwk2/wk4/90/0/60/20s","4","0.2578","0.1806","9"
"90/10/180/Specialty/15k","6","0.5807","0.5529","6"
"45/15/120/1-3/15","4","0.7843","0.7716","9"
"120/20/150/1-5/0b","5","0.8276","0.8921","6"
"100/15/60/1-3/0b","5","0.6797","0.6773","6"
"FSSwk2/wk4/90/0/60/20y","7","0.124","0.1376","5"
"FSSwk2/wk4/90/0/60/20ah","6","0.3307","0.4039","9"
"FSSwk2/wk4/90/0/60/20ak","6","0.2758","0.1808","7"
"90/10/180/Specialty/15ab","6","0.5708","0.5786","10"
"100/15/60/1-4/0w","5","0.6426","0.638","5"
"45/20/180/1-4/10dds","6","0.7124","0.689","9"
"150/20/60/1-3/0q","5","0.6277","0.6297","8"
"FSSwk2/wk4/90/0/60/20ap","6","0.1795","0.2356","6"
"90/20/90/1-1/10","6","0.7531","0.7758","5"
"90/20/180/1-2/0","3","0.9076","0.8544","6"
"65/15/100/1-4/10","4","0.7075","0.735","6"
"90/20/180/1-1/0+","6","0.7495","0.7376","7"
"80/15/140/1-2/20fd","2","0.8106","0.7118","7"
"90/10/180/Specialty/15g","4","0.6303","0.6181","8"
