"Routing_plan","FRRR_id_rgt","FRRR_AA","FRRR_AAs","FRRR_OvC","FRRR_TrC","FRRR_SlC","FRRR_RP","FRRR_AL","FRRR_WT","FRRR_RD","FRRR_RCD","FRRR_Ovt","FRRR_OvWt","FRRR_RV","FRRR_SNA","FRRR_RAA","FRRR_RSAA","FRRR_RSLA","FRRR_TRAS","SRRR_id_rgt","SRRR_AA","SRRR_AAs","SRRR_OvC","SRRR_TrC","SRRR_SlC","SRRR_RP","SRRR_AL","SRRR_WT","SRRR_RD","SRRR_RCD","SRRR_Ovt","SRRR_OvWt","SRRR_RV","SRRR_SNA","SRRR_RAA","SRRR_RSAA","SRRR_RSLA","SRRR_TRAS"
"Automatic Bulk AM","697642742","8556","370.489190017334","736.348693379006","10042.2801278139","0","34695000","309.137697623914","230334.280800156","242.736764972719","129.102989485052","11862.2294464009","18.163502570255","28271700.365325","Inf","303.613056439318","356.345655102506","98.7835484410587","0.188118188062678","73945624","710","34.4209207459207","120.609696746532","1238.18726667338","0","3085500","27.2724102170293","21967.0523809524","22.5842330010726","11.6104916995969","1719.46507936508","2.52271984941457","2552923.266667","Inf","28.1804496117645","32.4932212800679","14.1363198160686","0.208101664231201"
"Manual - Internal - Install and Service","265214831","19219","160.982805394532","471.432296311829","1301.00005060759","42040.1536013419","243874950","154.370184320343","89625.3003028451","137.406017803691","107.588642066866","3497.94515432958","6.17442529407419","235734927.166336","Inf","143.415624585339","160.392433259219","39.9744559993137","0.114397203104198","3919502","27","2","0","4.91666666666667","0","108000","1.75912400872082","2824","1.95098607408389","1.86467852574063","0","0","97053.12","0","1.95098607408389","2","0.240875991279178","0.0247875354107649"
"Manual - Int/Ext - Install and Service","480913126","43651","266.212933854902","675.993931243083","2279.56877125516","50173.3813715426","371127225","253.523591243304","151112.808057389","228.055329349061","187.977247419223","5569.43524741012","9.1682064429403","352818302.049536","Inf","237.987355870664","265.190350429645","66.8747435517389","0.114292008047546","70361153","5560","35.5995157698005","63.2583213835817","302.55370637037","3208.52557213527","44820150","33.826323548248","19662.8783135242","30.3473214080397","24.7869248443069","528.880283542206","0.883095065452193","42656229.256067","Inf","31.566926668539","35.5084626233858","8.25083934996289","0.120801645180162"
"Manual Bulk AM Step 1 – Internal","596562930","5451","369.032795034219","689.253683116638","11506.250683121","0","32989500","304.758444279623","234533.983730159","225.293327533332","122.327217746767","15881.2603174603","20.4730267367161","28902612.061337","Inf","288.856140015624","337.46948734126","98.6684691732589","0.20117539943136","3891891","48","1.52795031055901","0","37","0","315000","1.38327775614725","1088.33333333333","1.47244159470358","0.87711704710405","21.4444444444444","0.0454974068835455","285024.173333","Inf","1.64359325125399","1.02915148360229","0.616722243852751","0.153139356814701"
"Automatic Bulk AM ","47465672","388","26.3361227824463","71.2250227842333","712.433447181474","0","1671000","21.5603766447287","15348.1666666667","17.0657499370572","7.81523481923015","731.25","1.10518021776595","1347306.946666","Inf","20.056024211847","26.0810732400795","5.91261107391042","0.221264211795111","5832282","23","3","0","60.7380952380952","0","106500","2.61539391692256","1570.66666666667","1.55552876951771","0.899522169161586","0","0","91833.733333","0","2.24642246827786","3","0.384606083077441","0.179966044142615"
"Automatic Bulk Am","31983842","89","16.7904761904762","1.5","426.633333333333","0","403500","15.3255835729604","11183","11.0967097697261","6.70481939299349","484","0.728665875578836","349913.800002","Inf","13.8056092613261","16.1430303030303","2.68066642703959","0.189841724045426","3875226","9","1.83333333333333","3.5","53.25","0","49500","1.78925310457598","1238","0.979671740900833","0.652885096997208","0","0","44272.32","Inf","1.43603744588866","1.80952380952381","0.225330228757353","0.192245557350565"
"Manual Bulk Step 1 – Internal","25863765","777","13.70439174718","18.1734941245768","338.126329139371","0","1786500","9.85973840530914","7523.41818181818","10.1265143798402","4.58624968980849","535.419696969697","1.05428620671025","1299037.44","Inf","11.185125758073","9.18403046328453","5.36437217687318","0.229233327211036","1945270","62","0.939393939393939","0.725806451612903","28.3709677419355","0","93000","0.531931182795699","557.916666666667","0.663928304705004","0.303778508812232","28.5833333333333","0.0512322628827483","49469.6","Inf","0.716473243068988","0.607843137254902","0.480165591397849","0.262733383121733"
