"Routing_plan","FRRR_id_rgt","FRRR_AA","FRRR_AAs","FRRR_OvC","FRRR_TrC","FRRR_SlC","FRRR_RP","FRRR_AL","FRRR_WT","FRRR_RD","FRRR_RCD","FRRR_Ovt","FRRR_OvWt","FRRR_RV","FRRR_SNA","FRRR_RAA","FRRR_RSAA","FRRR_RSLA","FRRR_TRAS","SRRR_id_rgt","SRRR_AA","SRRR_AAs","SRRR_OvC","SRRR_TrC","SRRR_SlC","SRRR_RP","SRRR_AL","SRRR_WT","SRRR_RD","SRRR_RCD","SRRR_Ovt","SRRR_OvWt","SRRR_RV","SRRR_SNA","SRRR_RAA","SRRR_RSAA","SRRR_RSLA","SRRR_TRAS"
"Morning Plan - BUS/OOS priority","1533613451","35517","787.682159074634","1706.67588990898","7535.68132370211","857461.999283664","721959180","744.291089821696","502918.877140448","680.662711001291","609.934084508553","43616.9732332734","54.0368032040385","701849516.926962","Inf","689.756350739808","784.048359879252","281.700280399924","0.13816217008516","1634442044","36734","808.736476360874","1398.90203215488","8140.42792356144","868116.321099434","723516945","765.879640964109","499395.66067442","693.721646783869","617.472987347228","44814.8319406943","59.6373196987667","702241056.721425","Inf","702.302132078723","802.03315825433","312.222743473621","0.146206445294846"
"Base Routing Plan","5778417941","112662","2880.49790155812","20378.9518798723","31652.8916556568","4933182.37449049","3514505745","2846.99062405227","1282418.73163018","2499.76239305676","2021.29494394151","291476.302585734","604.472073474248","3450189681.2167","Inf","2522.24895690349","2839.56983685614","1326.07100562849","0.168488593127556","5464458148","97432","2623.99521220169","20870.8997637652","32267.0760942611","3638299.64136077","2688355305","2579.74425482842","1176033.08527318","2263.69944481366","1810.11661547601","282260.81409109","586.794999662386","2630378865.95543","Inf","2284.28641597872","2551.37663350834","1290.5457038223","0.180592735810516"
"Manual Routing Plan","26485598","1385","13.9301639066877","27.8203184523564","99.1696986133124","5601.87555201577","13505400","13.2308831642249","7449.77668997669","12.1731245234738","10.0794925173343","1370.52482517483","2.66610811046683","12891935.19707","Inf","12.215077159104","13.8231193122646","5.36078196862086","0.12360915560054","43410129","1983","21.8853280605685","43.2130060037696","171.577809392918","2191.95140770444","14516250","20.4392520112672","11430.0370795871","18.9970909212293","15.3235673763034","2152.08594738595","4.24408467014202","13539814.94684","Inf","19.0704946198257","21.67839666095","4.77338505010756","0.136333442564177"
"Manual Plan","382772969","7428","196.094139257877","670.724737531074","1884.2736922412","105648.635902876","110754135","190.807693500195","100351.415054828","167.221661106919","144.002873694327","13554.9796231546","24.671881553017","106855961.638309","Inf","169.599156373679","193.565521025203","58.1824196348398","0.146216256859569","429649825","7661","209.947396727026","1343.90510667228","2227.51534964435","205186.438309861","129846270","205.058942819226","103677.666219973","179.663120332503","152.5389706226","16042.1579057381","29.6013166930563","125602819.090365","Inf","181.705052584608","205.771572600395","65.5286328112699","0.157273894962758"
"Base Routing Plan 2","190394365","2451","92.0068825745352","1184.95071534748","1077.11790199455","442985.994181612","174063765","91.8819090168022","28587.4216607223","81.8505879630208","53.5225871437396","16819.9112155388","54.4026447610653","172332043.50479","Inf","81.8505879630208","90.3599740808801","55.325788261375","0.174579957022071","221201823","2384","102.010206716372","1611.74689060455","1236.52780914098","188983.9724926","74009985","102.512002027648","31196.2823010323","92.4571698702557","59.5663346166215","18648.3247197247","59.8318982501559","72417980.350338","Inf","92.4642955080145","96.9286722714275","61.4269865379266","0.173811631938345"
"DAY BEFORE-LOAD BAL","2090153088","34398","1009.40816262781","894.090090260271","7287.82079688538","806944.855843744","641961000","1007.17619785241","572529.015931866","963.090171613374","859.670323909511","38213.8052295754","51.2843716029975","624220937.756509","Inf","971.973224012287","980.645422925962","374.674775192271","0.102198800252745","2137021479","33844","1000.78379337533","875.320034882061","7349.86530470092","894279.265640649","698713125","990.98750827337","561382.317750735","946.980825403539","838.608704754052","40340.0526342952","55.74864285472","681478980.291968","Inf","954.217273598055","971.987942801653","390.157800503487","0.10541018057909"
"DAY BEFORE ROUTING","1489155171","33174","769.809488266694","783.010283138817","7022.25575232296","793951.224423541","717595500","727.010889239528","479646.165322478","662.60261810051","598.207025511482","31855.5208976667","39.6872441315003","699534549.636677","Inf","671.900135214548","766.198802855023","302.916553390613","0.13360699153263","1619189228","33104","804.707053451844","1157.91362964113","7818.53440514944","765707.394039706","663840000","761.119648928429","506244.634595878","692.790998103749","620.966865282394","37419.4208939753","46.6549764852679","645509766.718332","Inf","700.388085734608","793.149723946472","327.482551178546","0.14060231671385"
