"Routing_plan","FRRR_id_rgt","FRRR_AA","FRRR_AAs","FRRR_OvC","FRRR_TrC","FRRR_SlC","FRRR_RP","FRRR_AL","FRRR_WT","FRRR_RD","FRRR_RCD","FRRR_Ovt","FRRR_OvWt","FRRR_RV","FRRR_SNA","FRRR_RAA","FRRR_RSAA","FRRR_RSLA","FRRR_TRAS","SRRR_id_rgt","SRRR_AA","SRRR_AAs","SRRR_OvC","SRRR_TrC","SRRR_SlC","SRRR_RP","SRRR_AL","SRRR_WT","SRRR_RD","SRRR_RCD","SRRR_Ovt","SRRR_OvWt","SRRR_RV","SRRR_SNA","SRRR_RAA","SRRR_RSAA","SRRR_RSLA","SRRR_TRAS"
" Cable Onda enrutamiento básico ","264902353","16549","135.538079210969","117.174051176055","1242.66459463103","8876.49171575747","1444090620","137.92821302741","86006.2032658257","101.139574517488","79.3977927352564","16875.7506335194","26.3807164255824","1430210488.91","Inf","125.768683656159","139.379940882849","2.42203146501551","0.0784879819595092","370000890","28156","178.890670122263","215.036466903581","1781.67701575429","10892.768434837","1909781220","184.95278824388","108994.698934157","136.99945053724","107.829130755188","19861.8676378973","33.065762484253","1886511935.178","Inf","166.91321895626","186.280652424753","3.39871068487959","0.0886706971703128"
"Daños - CTT","249798993","5904","127.234522939174","1148.35615479276","1192.43068530141","11822.4453327866","322544652","129.64867445493","51739.73747472","101.189040820175","80.3167848856536","5031.95871117903","15.4580400819369","319949365.18","Inf","108.148078293074","128.422743085356","6.99756291798589","0.145480637599409","365597589","10636","177.543358242886","3591.21433074513","1742.31341061235","20718.1382934194","549307992","182.449301968174","73858.4897632987","145.930312666256","108.228830317966","15684.1591454602","36.1449058686613","543627266.74","Inf","152.27542602868","179.628262838526","12.2949171357263","0.150816971363546"
"Corporativo y Pymes Urgente","284612409","4639","139.446101548309","2832.26299490779","1476.70035360308","7141.65101498287","1282280124","147.944930488138","40776.0761904762","109.6230175931","73.5514277465196","12616.9285714286","47.5784479945778","1280687107.26","Inf","112.069764228648","143.574643619861","8.37234381253464","0.241912332815133","629846129","7344","301.966164132813","7076.45246430575","3468.34484800011","25411.5740011038","1873895172","316.465372687814","85858.2714285714","235.281781466573","150.369875230867","28979.1285714286","98.7397194126178","1871016521.54","Inf","239.969468281999","310.939170431545","32.6496765141309","0.236304880518209"
"Cliente VIP","11331053","20","6","0","40.8333333333333","1019.33333333333","539280","5.92792861757106","1717","2.91321442817255","3.71860155467626","0","0","532742","0","5.00327653997379","6","0.33143830749354","0.0780430984274898","51337976","222","24.6161616161616","38.2186507936508","192.665842490842","3967.25235042735","15272760","25.7199382562368","11240","20.6759606959554","15.5865094169377","2008","4.50751793843172","15184880.46","Inf","21.5859426579169","25.761860237357","1.27376495668635","0.149644128113879"
